run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate,attempt_index,attempt_seed,price_change_threshold,stage
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,list_price_violation,40281,40040,0.994017030361709,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,price_drop,40076,40006,0.9982533186944805,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,price_spike,40467,40393,0.9981713494946499,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,decimal_shift,77126,71410,0.9258875087519125,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,list_price_violation,77372,67453,0.8718011683813266,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,price_drop,77741,72299,0.9299983277807078,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,price_spike,77251,71783,0.9292177447541132,1,42,0.1,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,list_price_violation,40281,35114,0.8717261239790471,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,price_drop,40076,39967,0.9972801676814054,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,price_spike,40467,40363,0.9974300046951837,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,decimal_shift,77126,71336,0.924928039830926,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,list_price_violation,77372,60268,0.7789381171483224,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,price_drop,77741,72107,0.9275285885182851,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,price_spike,77251,71524,0.9258650373457948,1,42,0.15,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,list_price_violation,40281,30073,0.7465802735781137,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,price_drop,40076,39907,0.9957830122766743,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,price_spike,40467,40320,0.9963674104826155,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,decimal_shift,77126,71284,0.9242538184269896,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,list_price_violation,77372,52876,0.6833996794706095,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,price_drop,77741,71877,0.924570046693508,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,price_spike,77251,71301,0.9229783433224166,1,42,0.2,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,list_price_violation,40281,25143,0.6241900647948164,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,price_drop,40076,39823,0.993686994710051,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,price_spike,40467,40275,0.9952553932834162,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,decimal_shift,77126,71245,0.9237481523740373,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,list_price_violation,77372,45340,0.5860001033965776,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,price_drop,77741,71589,0.920865437799874,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,price_spike,77251,71078,0.9200916492990382,1,42,0.25,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,list_price_violation,40281,20088,0.4986966559916586,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,price_drop,40076,39714,0.9909671623914562,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,price_spike,40467,40230,0.9941433760842168,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,decimal_shift,77126,71210,0.9232943495060032,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,list_price_violation,77372,37854,0.48924675593237865,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,price_drop,77741,71208,0.915964548951004,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,price_spike,77251,70877,0.9174897412331232,1,42,0.3,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,list_price_violation,40281,10143,0.2518060624115588,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,price_drop,40076,39283,0.9802125960674718,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,price_spike,40467,40150,0.9921664566189735,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,decimal_shift,77126,71160,0.9226460596945258,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,list_price_violation,77372,22182,0.2866928604663186,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,price_drop,77741,69943,0.8996925689147297,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,price_spike,77251,70603,0.9139428615810798,1,42,0.4,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,list_price_violation,40281,378,0.009384076860058092,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,price_drop,40076,38300,0.9556842000199621,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,price_spike,40467,40032,0.9892505004077397,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,decimal_shift,77126,71140,0.9223867437699349,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,list_price_violation,77372,6803,0.08792586465387996,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,price_drop,77741,67575,0.8692324513448502,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,price_spike,77251,70442,0.9118587461650982,1,42,0.5,coarse
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_prices,threshold,list_price_violation,40281,27603,0.6852610411856707,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_prices,threshold,price_drop,40076,39873,0.9949346242139934,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_prices,threshold,price_spike,40467,40293,0.9957002001630959,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_products,threshold,decimal_shift,77126,71265,0.9240074682986282,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_products,threshold,list_price_violation,77372,49187,0.6357209326371297,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_products,threshold,price_drop,77741,71743,0.9228463744999421,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_products,threshold,price_spike,77251,71190,0.9215414687188516,1,42,0.225,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_prices,threshold,decimal_shift,40303,40303,1.0,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_prices,threshold,list_price_violation,40281,22600,0.5610585635907748,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_prices,threshold,price_drop,40076,39771,0.9923894600259507,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_prices,threshold,price_spike,40467,40258,0.9948352978970519,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_products,threshold,decimal_shift,77126,71225,0.9234888364494463,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_products,threshold,list_price_violation,77372,41545,0.5369513519102518,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_products,threshold,price_drop,77741,71417,0.9186529630439536,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_products,threshold,price_spike,77251,70958,0.9185382713492382,1,42,0.275,refine
