run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,price_change_threshold,stage
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,0.8052804113013537,0.3390437541130216,0.9976105804737878,0.7839104809229948,0.5060899105994512,0.8843287793083944,160742,313362,385,1136787,1611276,161127,474104,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,0.6620236653161692,0.2172479242263933,0.9142298620310834,0.6340008451152233,0.3510710368410865,0.7613294327407031,282945,1019461,26545,1765958,3094909,309490,1302406,1,42,0.1,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,0.8378576978742314,0.3783729286264373,0.9666101894778653,0.8235519246642932,0.5438568310781318,0.8922184048452559,155747,255876,5380,1194273,1611276,161127,411623,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,0.7208072999884649,0.24906882547128834,0.8893179101101812,0.7020839593612308,0.3891495928729076,0.7901745626511975,275235,829821,34255,1955598,3094909,309490,1105056,1,42,0.15,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,0.8603628428649096,0.4125284532134669,0.9346850620938763,0.8521048526737597,0.5724173318129988,0.8924402933148337,150603,214470,10524,1235679,1611276,161127,365073,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,0.7582701139193431,0.2746666557075899,0.8638017383437268,0.7465444157593526,0.416801267220036,0.8030357178131808,267338,705980,42152,2079439,3094909,309490,973318,1,42,0.2,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,0.8792131205330433,0.4484044093634274,0.903287468890999,0.8765382040052436,0.5993053453816998,0.8898123261014981,145544,179038,15583,1271111,1611276,161127,324582,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,0.7880160612153702,0.29968384609604837,0.8376748844873825,0.7824984320132806,0.44143966966775217,0.809616751091702,259252,605833,50238,2179586,3094909,309490,865085,1,42,0.25,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,0.894936683721473,0.48587572577545884,0.8709589330155716,0.8976008672212303,0.6237721021611002,0.8841795595855259,140335,148494,20792,1301655,1611276,161127,288829,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,0.8136436321714144,0.3263523241731682,0.8114931015541698,0.8138825792457077,0.46549848293041873,0.8126869622019334,251149,518415,58341,2267004,3094909,309490,769564,1,42,0.3,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,0.9161378931976892,0.5556178237136159,0.8060660224543372,0.928368050455505,0.6578100348710884,0.8650583458960189,129879,103877,31248,1346272,1611276,161127,233756,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,0.8441595536411571,0.36510885141695726,0.755720701799735,0.8539860609840028,0.49235018229890276,0.8033523170651977,233888,406710,75602,2378709,3094909,309490,640598,1,42,0.4,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,0.9278702096971593,0.6162644987572494,0.738628535254799,0.9488969754142506,0.6719210042710313,0.8371871851969169,119013,74107,42114,1376042,1611276,161127,193120,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,0.8563224314511347,0.38081534264740374,0.697793143558758,0.8739367398585276,0.4927280629804846,0.7809142494393188,215960,351139,93530,2434280,3094909,309490,567099,1,42,0.5,coarse
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_prices,threshold,0.8711220175810972,0.4321062230976873,0.9189769560657122,0.8658048241939277,0.5878182301777286,0.8919947768259323,148072,194603,13055,1255546,1611276,161127,342675,1,42,0.225,refine
threshold__price_change_threshold_0p225__attempt_01,threshold__price_change_threshold_0p225,new_products,threshold,0.7749946767417071,0.2882774713758317,0.8510291124107402,0.7665464334091209,0.4306698900617345,0.8076839300405715,263385,650266,46105,2135153,3094909,309490,913651,1,42,0.225,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_prices,threshold,0.8889271608340222,0.4706261977043588,0.8870766538196578,0.8891327718737868,0.6149821548814305,0.8881041178123182,142932,160774,18195,1289375,1611276,161127,303706,1,42,0.275,refine
threshold__price_change_threshold_0p275__attempt_01,threshold__price_change_threshold_0p275,new_products,threshold,0.8033787100040745,0.31525654094461436,0.8244046657404116,0.8010425002486161,0.45609864007901213,0.812639633946883,255145,554180,54345,2231239,3094909,309490,809325,1,42,0.275,refine
