run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_prices,hybrid_weighted,0.5270053102291783,0.1605950791531566,0.8825995807127882,0.4875009704215511,0.2717443924479587,0.6559482846163548,2526,13203,336,12559,28624,2862,15729,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_products,hybrid_weighted,0.5496297193131142,0.15389981861308777,0.779033397235395,0.5241415647455803,0.25702396804260985,0.6390021782560878,7721,42448,2190,46755,99114,9911,50169,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_prices,hybrid_weighted,0.5545695919508105,0.16894335074327038,0.8815513626834381,0.51824392516109,0.2835468644639245,0.6759131885295423,2523,12411,339,13351,28624,2862,14934,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_products,hybrid_weighted,0.5518695643400529,0.15454235998478205,0.7787307032590052,0.5266639014382924,0.2579028269732006,0.6404134214303858,7718,42223,2193,46980,99114,9911,49941,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_prices,hybrid_weighted,0.7041294019005031,0.23569341001225605,0.8735150244584207,0.6853116994022204,0.37122280792931917,0.7737118752255082,2500,8107,362,17655,28624,2862,10607,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_products,hybrid_weighted,0.6732853078273503,0.20259932766881072,0.7722732317626879,0.6622871428090984,0.32098972530928915,0.7151689535571711,7654,30125,2257,59078,99114,9911,37779,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_prices,hybrid_weighted,0.7261039686975964,0.24974864267042027,0.8679245283018868,0.7103485754211629,0.38788257339163024,0.7851935762933432,2484,7462,378,18300,28624,2862,9946,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_products,hybrid_weighted,0.6814173577900196,0.20647608725105,0.7688427000302694,0.6717038664618903,0.3255297334244703,0.7186338527451454,7620,29285,2291,59918,99114,9911,36905,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_prices,hybrid_weighted,0.7900013974287311,0.30389836841449747,0.8525506638714185,0.7830525580312088,0.44807639335230925,0.8170630197210735,2440,5589,422,20173,28624,2862,8029,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_products,hybrid_weighted,0.7508222854490788,0.2502196094330698,0.7472505297144587,0.7512191294014775,0.3749019210812726,0.749232201908653,7406,22192,2505,67011,99114,9911,29598,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p750__attempt_01,hybrid_weighted__threshold_3p000__w_0p750,new_prices,hybrid_weighted,0.8029974846282839,0.3164573694646398,0.8364779874213837,0.7992780063659654,0.45919248105878974,0.8176664712186618,2394,5171,468,20591,28624,2862,7565,1,42,3.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p750__attempt_01,hybrid_weighted__threshold_3p000__w_0p750,new_products,hybrid_weighted,0.75805637952257,0.2550405683044886,0.7389768943598023,0.7601762272569308,0.37920679299989646,0.7495016127964489,7324,21393,2587,67810,99114,9911,28717,1,42,3.0,0.75,coarse
hybrid_weighted__threshold_4p000__w_0p250__attempt_01,hybrid_weighted__threshold_4p000__w_0p250,new_prices,hybrid_weighted,0.8306665735047513,0.3508191793176011,0.8155136268343816,0.8323499728281966,0.49059379926431956,0.8238887941564816,2334,4319,528,21443,28624,2862,6653,1,42,4.0,0.25,coarse
hybrid_weighted__threshold_4p000__w_0p250__attempt_01,hybrid_weighted__threshold_4p000__w_0p250,new_products,hybrid_weighted,0.7951449845632302,0.2883902756851407,0.7145595802643527,0.8040985168660247,0.41093187884414534,0.7580081125574945,7082,17475,2829,71728,99114,9911,24557,1,42,4.0,0.25,coarse
hybrid_weighted__threshold_4p000__w_0p750__attempt_01,hybrid_weighted__threshold_4p000__w_0p750,new_prices,hybrid_weighted,0.8410774175517048,0.36497518809028334,0.7966457023060797,0.8460135082679916,0.5006037984411023,0.8209586015473523,2280,3967,582,21795,28624,2862,6247,1,42,4.0,0.75,coarse
hybrid_weighted__threshold_4p000__w_0p750__attempt_01,hybrid_weighted__threshold_4p000__w_0p750,new_products,hybrid_weighted,0.8020763968763243,0.2951975016880486,0.7057814549490465,0.8127753550889544,0.4162823221352694,0.7573914263189214,6995,16701,2916,72502,99114,9911,23696,1,42,4.0,0.75,coarse
hybrid_weighted__threshold_5p000__w_0p250__attempt_01,hybrid_weighted__threshold_5p000__w_0p250,new_prices,hybrid_weighted,0.8544228619340414,0.3868954758190328,0.779874213836478,0.8627047589472867,0.5172054223149114,0.8202445950184637,2232,3537,630,22225,28624,2862,5769,1,42,5.0,0.25,coarse
hybrid_weighted__threshold_5p000__w_0p250__attempt_01,hybrid_weighted__threshold_5p000__w_0p250,new_products,hybrid_weighted,0.8240914502492079,0.32192558932121557,0.6862072444758349,0.8394112305639945,0.43825111963140767,0.7589532709642857,6801,14325,3110,74878,99114,9911,21126,1,42,5.0,0.25,coarse
hybrid_weighted__threshold_5p000__w_0p750__attempt_01,hybrid_weighted__threshold_5p000__w_0p750,new_prices,hybrid_weighted,0.8627026271660145,0.4011843079200592,0.7575122292103424,0.8743886344227932,0.5245584321316236,0.8138550753406882,2168,3236,694,22526,28624,2862,5404,1,42,5.0,0.75,coarse
hybrid_weighted__threshold_5p000__w_0p750__attempt_01,hybrid_weighted__threshold_5p000__w_0p750,new_products,hybrid_weighted,0.8279254192142381,0.32543250904114945,0.671879729593381,0.8452630516910866,0.43848154611003193,0.753601426886576,6659,13803,3252,75400,99114,9911,20462,1,42,5.0,0.75,coarse
hybrid_weighted__threshold_6p000__w_0p250__attempt_01,hybrid_weighted__threshold_6p000__w_0p250,new_prices,hybrid_weighted,0.8713666852990497,0.4196078431372549,0.7477288609364081,0.885102088347178,0.5375533785481035,0.81352097473407,2140,2960,722,22802,28624,2862,5100,1,42,6.0,0.25,coarse
