schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold,w
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p250,hybrid_weighted__threshold_1p000__w_0p250,tuning,hybrid_weighted,GLOBAL,global,ok,,919.2093189000152,7325876,698274,2008580,0.15214351659919326,0.6082312577696928,0.24315545382351555,coarse,1,0.24315545382351555,0.6142540196943709,0.225,0.6397832369528295,0.0,0.15714733175589746,0.0,0.5963595743766738,0.0,0.248747065534894,0.0,0.6200146666767357,0.0,0.5744625556363202,0.0,0.14046794790021686,0.0,0.6359318523534039,0.0,0.2301083598302993,0.0,0.6008125100688533,0.0,1.0,0.25
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p750,hybrid_weighted__threshold_1p000__w_0p750,tuning,hybrid_weighted,GLOBAL,global,ok,,909.6965624999721,7325876,698274,2008580,0.157651222310855,0.6077882436825717,0.24995890203923757,coarse,1,0.24995890203923757,0.620960222610079,0.225,0.6576845192574835,0.0,0.16481313465477554,0.0,0.5957437667377948,0.0,0.25819605993271844,0.0,0.6292150010395738,0.0,0.5759994623067043,0.0,0.14094009350837372,0.0,0.6358920232203845,0.0,0.23073886695444895,0.0,0.6016990729412579,0.0,1.0,0.75
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p250,hybrid_weighted__threshold_2p000__w_0p250,tuning,hybrid_weighted,GLOBAL,global,ok,,982.3356394998264,7325876,698274,2008580,0.21125117194847598,0.5993885897678888,0.31151735921781853,coarse,1,0.31151735921781853,0.6687579913525453,0.125,0.7552636930488604,0.0,0.2244476192553493,0.0,0.5894711214859581,0.0,0.3251071224058606,0.0,0.675325809145694,0.0,0.679536787182985,0.0,0.18045946156577158,0.0,0.6225293490923937,0.0,0.2798079117790538,0.0,0.6534330831685319,0.0,2.0,0.25
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p750,hybrid_weighted__threshold_2p000__w_0p750,tuning,hybrid_weighted,GLOBAL,global,ok,,980.8442170000635,7325876,698274,2008580,0.2198740298521269,0.5964562154026946,0.3201182100568059,coarse,1,0.3201182100568059,0.6725754606412846,0.125,0.7685536050318357,0.0,0.23571856356390944,0.0,0.5862059088891116,0.0,0.3362343364314787,0.0,0.6800056043638042,0.0,0.6848938055740872,0.0,0.18290345119130097,0.0,0.6203735972677215,0.0,0.28251391518256946,0.0,0.6552384586220725,0.0,2.0,0.75
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p250,hybrid_weighted__threshold_3p000__w_0p250,tuning,hybrid_weighted,GLOBAL,global,ok,,1166.8630168000236,7325876,698274,2008580,0.2577819071568451,0.5842385884506204,0.35662798252626693,coarse,1,0.35662798252626693,0.6875285393770704,0.225,0.8052483695512077,0.0,0.2744048390286482,0.0,0.5762670600197631,0.0,0.37177781473474136,0.0,0.6918812149760016,0.0,0.7452926943412759,0.0,0.21899506612263797,0.0,0.6028388214559539,0.0,0.32127837403982645,0.0,0.6773722963128974,0.0,3.0,0.25
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p750,hybrid_weighted__threshold_3p000__w_0p750,tuning,hybrid_weighted,GLOBAL,global,ok,,1084.797700499883,7325876,698274,2008580,0.2666877567555632,0.5779933540408311,0.3635797240194117,coarse,1,0.3635797240194117,0.6878898451346228,0.225,0.8145670610677184,0.0,0.2856105800330626,0.0,0.5690778638635485,0.0,0.3803366242815508,0.0,0.6921520647411581,0.0,0.7506790867179799,0.0,0.2225345024413981,0.0,0.5987961644544902,0.0,0.32448029007442053,0.0,0.6779446660527073,0.0,3.0,0.75
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p250,hybrid_weighted__threshold_4p000__w_0p250,tuning,hybrid_weighted,GLOBAL,global,ok,,1143.7764006000943,7325876,698274,2008580,0.2917294994796651,0.5660811536085059,0.3837623529672059,coarse,1,0.3837623529672059,0.6911343788886087,0.325,0.8321618734193168,0.0,0.31130797788435494,0.0,0.5596116115542699,0.0,0.4000634761375794,0.0,0.6947188355336522,0.0,0.7800291748399367,0.0,0.2460463832020555,0.0,0.5811767517350566,0.0,0.34572639890300116,0.0,0.6827706467168408,0.0,4.0,0.25
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p750,hybrid_weighted__threshold_4p000__w_0p750,tuning,hybrid_weighted,GLOBAL,global,ok,,1144.1722357999533,7325876,698274,2008580,0.30206140592243974,0.5587923292912037,0.390502343528887,coarse,1,0.390502343528887,0.690137885645943,0.325,0.8404122164078858,0.0,0.32463733911005843,0.0,0.5515631489252009,0.0,0.4087146616860515,0.0,0.6937163335953986,0.0,0.7842993557637734,0.0,0.24938422848466288,0.0,0.5756604168118771,0.0,0.3480069344955034,0.0,0.6817881737638801,0.0,4.0,0.75
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p250,hybrid_weighted__threshold_5p000__w_0p250,tuning,hybrid_weighted,GLOBAL,global,ok,,1160.3710920999292,7325876,698274,2008580,0.32005651293805926,0.5490623157112686,0.40302015149203346,coarse,1,0.40302015149203346,0.6900908547635136,0.425,0.8498239945923807,0.0,0.34227372174053966,0.0,0.5444312372005098,0.0,0.4203078011675217,0.0,0.6936458316176327,0.0,0.8032361170578219,0.0,0.26821635906560515,0.0,0.559868165569706,0.0,0.36268230224922765,0.0,0.6817959087705692,0.0,5.0,0.25
phase2.v1,no_avg_hybrid_weighted_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p750,hybrid_weighted__threshold_5p000__w_0p750,tuning,hybrid_weighted,GLOBAL,global,ok,,1183.355186099885,7325876,698274,2008580,0.32818424085431075,0.5394032389797108,0.4063603567833244,coarse,1,0.4063603567833244,0.6864957750372986,0.425,0.8555481086221168,0.0,0.35296346824314084,0.0,0.5335471952110216,0.0,0.42486272586797735,0.0,0.6896117453732311,0.0,0.8060510410339643,0.0,0.27036604361370714,0.0,0.5530673411066525,0.0,0.36318816225246753,0.0,0.6792251775867899,0.0,5.0,0.75
