run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_prices,hybrid_weighted,0.6203675777568332,0.13040336846301417,0.4933081998114986,0.6344852864174259,0.20627820363765342,0.559461164380034,5234,34903,5376,60587,106100,10610,40137,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_products,hybrid_weighted,0.5646940076801885,0.13540235174142037,0.6226231664426843,0.5582574549336315,0.22243219776290923,0.589562570284963,21775,139042,13198,175716,349731,34973,160817,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_prices,hybrid_weighted,0.6349104618284637,0.13552249637155298,0.49283694627709707,0.6506964080008378,0.212586900841566,0.5662925310054945,5229,33355,5381,62135,106100,10610,38584,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_products,hybrid_weighted,0.566401033937512,0.13586596921386748,0.6223658250650502,0.5601827435680745,0.22304086076597923,0.5904562603512205,21766,138436,13207,176322,349731,34973,160202,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_prices,hybrid_weighted,0.7217624882186616,0.17650278832666189,0.48623939679547595,0.7479317205990156,0.2589924445894727,0.6030537858833719,5159,24070,5451,71420,106100,10610,29229,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_products,hybrid_weighted,0.6628351504441985,0.16834074405809155,0.6018928887999314,0.6696064913362011,0.263097045938869,0.6348475292773316,21050,103994,13923,210764,349731,34973,125044,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_prices,hybrid_weighted,0.7331102733270499,0.183317237185678,0.4830348727615457,0.7608964289454393,0.2657712552181917,0.6062503688579288,5125,22832,5485,72658,106100,10610,27957,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_products,hybrid_weighted,0.6685423940113974,0.17071821406488985,0.6000057186972808,0.6761575559636293,0.26580699098733923,0.6369445818268291,20984,101932,13989,212826,349731,34973,122916,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_prices,hybrid_weighted,0.7688689915174364,0.20967405367054798,0.47351555136663526,0.801686040423081,0.2906482311764195,0.6161256425875081,5024,18937,5586,76553,106100,10610,23961,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_products,hybrid_weighted,0.7296264843551187,0.20256576648529925,0.5801618391330455,0.7462336143958216,0.30028563394456037,0.6579789253089948,20290,79875,14683,234883,349731,34973,100165,1,42,3.0,0.25,coarse
