run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_prices,hybrid_weighted,0.6428571428571429,0.17419354838709677,0.6923076923076923,0.6373937677053825,0.27835051546391754,0.6642835301371084,27,128,12,225,392,39,155,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_products,hybrid_weighted,0.37592468056489575,0.12135922330097088,0.8445945945945946,0.3241224794622853,0.21222410865874364,0.5232132396455996,125,905,23,434,1487,148,1030,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_prices,hybrid_weighted,0.6530612244897959,0.17880794701986755,0.6923076923076923,0.6487252124645893,0.28421052631578947,0.6701622600409375,27,124,12,229,392,39,151,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_products,hybrid_weighted,0.37525218560860796,0.12124151309408342,0.8445945945945946,0.32337565347274083,0.21204410517387617,0.5226101117913541,125,906,23,433,1487,148,1031,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_prices,hybrid_weighted,0.7780612244897959,0.2647058823529412,0.6923076923076923,0.7875354107648725,0.3829787234042553,0.7383879893641414,27,75,12,278,392,39,102,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_products,hybrid_weighted,0.49630127774041694,0.14688601645123384,0.8445945945945946,0.45780433159073936,0.2502502502502502,0.6218191568643812,125,726,23,613,1487,148,851,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_prices,hybrid_weighted,0.7806122448979592,0.26732673267326734,0.6923076923076923,0.7903682719546742,0.38571428571428573,0.739714833182463,27,74,12,279,392,39,101,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_products,hybrid_weighted,0.5063887020847344,0.14952153110047847,0.8445945945945946,0.4690067214339059,0.2540650406504065,0.6293810783234667,125,711,23,628,1487,148,836,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_prices,hybrid_weighted,0.826530612244898,0.3253012048192771,0.6923076923076923,0.8413597733711048,0.4426229508196721,0.7632036707872103,27,56,12,297,392,39,83,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_products,hybrid_weighted,0.5736381977135171,0.16983695652173914,0.8445945945945946,0.5436893203883495,0.2828054298642534,0.6776408053967888,125,611,23,728,1487,148,736,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p750__attempt_01,hybrid_weighted__threshold_3p000__w_0p750,new_prices,hybrid_weighted,0.8443877551020408,0.35526315789473684,0.6923076923076923,0.8611898016997167,0.4695652173913043,0.7721452740602962,27,49,12,304,392,39,76,1,42,3.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p750__attempt_01,hybrid_weighted__threshold_3p000__w_0p750,new_products,hybrid_weighted,0.5722932078009415,0.167574931880109,0.831081081081081,0.5436893203883495,0.2789115646258503,0.6721978192173698,123,611,25,728,1487,148,734,1,42,3.0,0.75,coarse
hybrid_weighted__threshold_4p000__w_0p250__attempt_01,hybrid_weighted__threshold_4p000__w_0p250,new_prices,hybrid_weighted,0.8545918367346939,0.375,0.6923076923076923,0.8725212464589235,0.48648648648648646,0.7772085760112329,27,45,12,308,392,39,72,1,42,4.0,0.25,coarse
hybrid_weighted__threshold_4p000__w_0p250__attempt_01,hybrid_weighted__threshold_4p000__w_0p250,new_products,hybrid_weighted,0.5864156018829859,0.17251051893408134,0.831081081081081,0.5593726661687827,0.28571428571428575,0.6818240536434297,123,590,25,749,1487,148,713,1,42,4.0,0.25,coarse
