run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_prices,hybrid_weighted,0.5011710547569052,0.15433075275440636,0.8903246648360523,0.45793176474811104,0.2630618161860332,0.6385201210354643,22048,120814,2716,102062,247640,24764,142862,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p250__attempt_01,hybrid_weighted__threshold_1p000__w_0p250,new_products,hybrid_weighted,0.4899900114653609,0.14061756556298804,0.8021434130959746,0.45530664626608347,0.2392874896930693,0.6043353599129855,80386,491278,19828,410657,1002149,100214,571664,1,42,1.0,0.25,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_prices,hybrid_weighted,0.5245315780972379,0.16069538816351256,0.8891132288806332,0.4840225057879718,0.27219512798165424,0.6560112902778721,22018,114999,2746,107877,247640,24764,137017,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_1p000__w_0p750__attempt_01,hybrid_weighted__threshold_1p000__w_0p750,new_products,hybrid_weighted,0.49200368408290585,0.14112453042165501,0.8022132636158621,0.4575362969615327,0.24002424336517014,0.6058396537106393,80393,489267,19821,412668,1002149,100214,569660,1,42,1.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_prices,hybrid_weighted,0.6646260701017607,0.2135781114867521,0.8775642061056372,0.640966277212441,0.34354548041354455,0.7499927080994998,21732,80020,3032,142856,247640,24764,101752,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p250__attempt_01,hybrid_weighted__threshold_2p000__w_0p250,new_products,hybrid_weighted,0.6130116379899596,0.17598363278310283,0.7793721436126689,0.5945273218136562,0.28713227995617874,0.6807040717067941,78104,365710,22110,536225,1002149,100214,443814,1,42,2.0,0.25,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_prices,hybrid_weighted,0.6851558714262639,0.22384511574794977,0.870739783556776,0.664535436745096,0.3561365550729185,0.7606822216650212,21563,74767,3201,148109,247640,24764,96330,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_2p000__w_0p750__attempt_01,hybrid_weighted__threshold_2p000__w_0p750,new_products,hybrid_weighted,0.6203937737801465,0.17820147090574168,0.7741932264953001,0.6033051162223442,0.2897167993547327,0.6834286608632233,77585,357793,22629,544142,1002149,100214,435378,1,42,2.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_prices,hybrid_weighted,0.7429413664997577,0.26001431497889776,0.8508318526893878,0.73095353470091,0.3983062061664682,0.7886181269533639,21070,59964,3694,162912,247640,24764,81034,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p250__attempt_01,hybrid_weighted__threshold_3p000__w_0p250,new_products,hybrid_weighted,0.6948866885063998,0.21025820292567962,0.7442373321092861,0.6894033383780428,0.32788420323782513,0.7162958196874459,74583,280138,25631,621797,1002149,100214,354721,1,42,3.0,0.25,coarse
hybrid_weighted__threshold_3p000__w_0p750__attempt_01,hybrid_weighted__threshold_3p000__w_0p750,new_prices,hybrid_weighted,0.7563115813277338,0.2690405410668155,0.8369003392020675,0.7473572748972522,0.40718292287591973,0.7908625398048913,20725,56308,4039,166568,247640,24764,77033,1,42,3.0,0.75,coarse
hybrid_weighted__threshold_3p000__w_0p750__attempt_01,hybrid_weighted__threshold_3p000__w_0p750,new_products,hybrid_weighted,0.7027817220792517,0.2136563174593976,0.7357854192029057,0.6991146812131694,0.3311529228952078,0.7172157198412049,73736,271379,26478,630556,1002149,100214,345115,1,42,3.0,0.75,coarse
hybrid_weighted__threshold_4p000__w_0p250__attempt_01,hybrid_weighted__threshold_4p000__w_0p250,new_prices,hybrid_weighted,0.7845864965272169,0.29304427162532043,0.8171135519302213,0.7809723792602165,0.43138090923626293,0.798838603709605,20235,48816,4529,174060,247640,24764,69051,1,42,4.0,0.25,coarse
hybrid_weighted__threshold_4p000__w_0p250__attempt_01,hybrid_weighted__threshold_4p000__w_0p250,new_products,hybrid_weighted,0.7395606840898908,0.23483311728792092,0.7104396591294629,0.7427963212426616,0.3529875480613103,0.726437860567754,71196,231981,29018,669954,1002149,100214,303177,1,42,4.0,0.25,coarse
hybrid_weighted__threshold_4p000__w_0p750__attempt_01,hybrid_weighted__threshold_4p000__w_0p750,new_prices,hybrid_weighted,0.796228396058795,0.3027782041442824,0.7965595218866096,0.796191604300149,0.43877482928131323,0.796375541846596,19726,45424,5038,177452,247640,24764,65150,1,42,4.0,0.75,coarse
hybrid_weighted__threshold_4p000__w_0p750__attempt_01,hybrid_weighted__threshold_4p000__w_0p750,new_products,hybrid_weighted,0.7454430429008062,0.2379524798841435,0.7017382800806274,0.7502990792019381,0.35539428733146017,0.725612558729,70324,225214,29890,676721,1002149,100214,295538,1,42,4.0,0.75,coarse
hybrid_weighted__threshold_5p000__w_0p250__attempt_01,hybrid_weighted__threshold_5p000__w_0p250,new_prices,hybrid_weighted,0.8110765627523825,0.31878404845372704,0.7821434340171216,0.8142913548340781,0.4529541760695953,0.7980555347595681,19369,41390,5395,181486,247640,24764,60759,1,42,5.0,0.25,coarse
hybrid_weighted__threshold_5p000__w_0p250__attempt_01,hybrid_weighted__threshold_5p000__w_0p250,new_products,hybrid_weighted,0.7690084009463662,0.2551095789214479,0.6822998782605225,0.778642585108683,0.3713665001086248,0.7288811569989396,68376,199650,31838,702285,1002149,100214,268026,1,42,5.0,0.25,coarse
hybrid_weighted__threshold_5p000__w_0p750__attempt_01,hybrid_weighted__threshold_5p000__w_0p750,new_prices,hybrid_weighted,0.8194677758035859,0.3268145266338989,0.7598530124374091,0.8260916383998277,0.45705055804520217,0.7922803922775471,18817,38760,5947,184116,247640,24764,57577,1,42,5.0,0.75,coarse
hybrid_weighted__threshold_5p000__w_0p750__attempt_01,hybrid_weighted__threshold_5p000__w_0p750,new_products,hybrid_weighted,0.7736554145142089,0.25762164190247205,0.6714630690322709,0.7850100062643095,0.37237383477536656,0.7260201292163155,67290,193907,32924,708028,1002149,100214,261197,1,42,5.0,0.75,coarse
hybrid_weighted__threshold_6p000__w_0p250__attempt_01,hybrid_weighted__threshold_6p000__w_0p250,new_prices,hybrid_weighted,0.8285858504280407,0.33875526541330075,0.7501615247940558,0.8372996643873724,0.46674120322098406,0.7925339064963609,18577,36262,6187,186614,247640,24764,54839,1,42,6.0,0.25,coarse
hybrid_weighted__threshold_6p000__w_0p250__attempt_01,hybrid_weighted__threshold_6p000__w_0p250,new_products,hybrid_weighted,0.7866894044697944,0.2683713890577384,0.656435228610773,0.8011619462599855,0.3809843717875583,0.7251971630856159,65784,179339,34430,722596,1002149,100214,245123,1,42,6.0,0.25,coarse
hybrid_weighted__threshold_6p000__w_0p750__attempt_01,hybrid_weighted__threshold_6p000__w_0p750,new_prices,hybrid_weighted,0.8360321434340171,0.34753315751987524,0.7290421579712486,0.847919919596547,0.4706894528958585,0.7862374755565104,18054,33895,6710,188981,247640,24764,51949,1,42,6.0,0.75,coarse
hybrid_weighted__threshold_6p000__w_0p750__attempt_01,hybrid_weighted__threshold_6p000__w_0p750,new_products,hybrid_weighted,0.790478262214501,0.27017304341999465,0.6437523699283533,0.8067809764561747,0.380609915102744,0.7206713298076824,64513,174271,35701,727664,1002149,100214,238784,1,42,6.0,0.75,coarse
