run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_prices,standard_zscore,0.9496149375181633,0.6709241172051089,0.9734738372093024,0.9469648046496609,0.7943661971830986,0.9601278363241339,2679,1314,73,23462,27528,2752,3993,1,42,2.0,coarse
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_products,standard_zscore,0.8635855866177818,0.37242901575198156,0.5316528215411057,0.900464657394736,0.43801994217947965,0.6919064790865572,3712,6255,3270,56587,69824,6982,9967,1,42,2.0,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_prices,standard_zscore,0.9719921534437663,0.7970014992503748,0.965843023255814,0.9726751695188892,0.8733366190241497,0.9692530765357339,2658,677,94,24099,27528,2752,3335,1,42,2.5,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_products,standard_zscore,0.889708409715857,0.45389252276516606,0.5068748209682039,0.9322427675758251,0.4789227958589891,0.687408456388121,3539,4258,3443,58584,69824,6982,7797,1,42,2.5,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_prices,standard_zscore,0.9824905550712002,0.8788384512683578,0.9567587209302325,0.9853487245721666,0.9161447459986081,0.9709484978060896,2633,363,119,24413,27528,2752,2996,1,42,3.0,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_products,standard_zscore,0.9023544912923923,0.5122571001494768,0.49083357204239475,0.9480761274306992,0.5013165593914569,0.6821639042011317,3427,3263,3555,59579,69824,6982,6690,1,42,3.0,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_prices,standard_zscore,0.9854330136588201,0.9120224325271644,0.9454941860465116,0.9898692282854376,0.928456735057984,0.9674273100808289,2602,251,150,24525,27528,2752,2853,1,42,3.5,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_products,standard_zscore,0.9094151008249313,0.5546679980029955,0.477370380979662,0.957417014098851,0.5131244707874683,0.6760492029259253,3333,2676,3649,60166,69824,6982,6009,1,42,3.5,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_prices,standard_zscore,0.9875762859633828,0.9401022644265887,0.9353197674418605,0.9933806909912819,0.937704918032787,0.9639131687445713,2574,164,178,24612,27528,2752,2738,1,42,4.0,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_products,standard_zscore,0.9124369844179652,0.5772241992882562,0.46462331710111715,0.9621908914420292,0.5148389144580225,0.668622706514127,3244,2376,3738,60466,69824,6982,5620,1,42,4.0,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_prices,standard_zscore,0.9884481255448997,0.9568318318318318,0.9262354651162791,0.9953584113658379,0.9412850812407682,0.960175120021779,2549,115,203,24661,27528,2752,2664,1,42,4.5,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_products,standard_zscore,0.9159744500458296,0.6067394217882442,0.45388140933829846,0.9673148531237071,0.5192953707496927,0.662605635962793,3169,2054,3813,60788,69824,6982,5223,1,42,4.5,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_prices,standard_zscore,0.9883028189479802,0.9633867276887872,0.9178779069767442,0.996125282531482,0.9400818756978042,0.9562015422580193,2526,96,226,24680,27528,2752,2622,1,42,5.0,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_products,standard_zscore,0.9174209440879927,0.6227291077916834,0.44185047264394156,0.9702587441520003,0.5169235924932976,0.6547589515924761,3085,1869,3897,60973,69824,6982,4954,1,42,5.0,coarse
standard_zscore__threshold_2p250__attempt_01,standard_zscore__threshold_2p250,new_prices,standard_zscore,0.9612031386224935,0.7308114035087719,0.96875,0.9603648692282855,0.8331250000000001,0.9645483228251975,2666,982,86,23794,27528,2752,3648,1,42,2.25,refine
standard_zscore__threshold_2p250__attempt_01,standard_zscore__threshold_2p250,new_products,standard_zscore,0.8795543079743354,0.41759002770083103,0.518189630478373,0.9197033830877439,0.46248242362265124,0.6903482861802059,3618,5046,3364,57796,69824,6982,8664,1,42,2.25,refine
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_prices,standard_zscore,0.9777317640220866,0.8398474737845567,0.9603924418604651,0.9796577332902809,0.8960840820478047,0.9699772588376189,2643,504,109,24272,27528,2752,3147,1,42,2.75,refine
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_products,standard_zscore,0.896282080659945,0.481994459833795,0.4984245201947866,0.940485662455046,0.4900718208703,0.6846613141248981,3480,3740,3502,59102,69824,6982,7220,1,42,2.75,refine
