run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_prices,standard_zscore,0.8644008970525416,0.4228723404255319,0.976502002670227,0.8519474355551601,0.5901718712176229,0.91210107827443,3657,4991,88,28720,37456,3745,8648,1,42,2.0,coarse
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_products,standard_zscore,0.7980895174840903,0.2977047113819003,0.7499338449325218,0.8034399117971334,0.4262134827236154,0.7762259865698071,11336,26742,3780,109308,151166,15116,38078,1,42,2.0,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_prices,standard_zscore,0.9159547202050405,0.5456771231828615,0.9522029372496662,0.9119278573759307,0.693774319066148,0.9318478332609654,3566,2969,179,30742,37456,3745,6535,1,42,2.5,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_products,standard_zscore,0.8333024621938796,0.34086676556926865,0.7144085736967452,0.8465123116501286,0.4615253114515887,0.777660371359312,10799,20882,4317,115168,151166,15116,31681,1,42,2.5,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_prices,standard_zscore,0.9396091413925672,0.6365310255938132,0.9230974632843791,0.9414434457595444,0.753487358326068,0.9322253250187641,3457,1974,288,31737,37456,3745,5431,1,42,3.0,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_products,standard_zscore,0.8686874032520541,0.40697948597029004,0.6851018788039164,0.889084895259096,0.5106257087914797,0.7804573865101091,10356,15090,4760,120960,151166,15116,25446,1,42,3.0,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_prices,standard_zscore,0.952210593763349,0.7088229010895107,0.8859813084112149,0.9595680935006378,0.7875623071445526,0.922040885747129,3318,1363,427,32348,37456,3745,4681,1,42,3.5,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_products,standard_zscore,0.885258589894553,0.449204685292375,0.652024345064832,0.9111723631018008,0.5319372858029522,0.7707830844619172,9856,12085,5260,123965,151166,15116,21941,1,42,3.5,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_prices,standard_zscore,0.9588316958564715,0.7670303030303031,0.8448598130841122,0.9714929844857761,0.8040660736975859,0.9059665453454554,3164,961,581,32750,37456,3745,4125,1,42,4.0,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_products,standard_zscore,0.8963589696095683,0.48581724581724584,0.6243053717914793,0.9265858140389562,0.5464230913986278,0.7605737972940568,9437,9988,5679,126062,151166,15116,19425,1,42,4.0,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_prices,standard_zscore,0.9613146091413926,0.8048327137546468,0.8093457943925234,0.9781970276764261,0.8070829450139796,0.8897750560884375,3031,735,714,32976,37456,3745,3766,1,42,4.5,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_products,standard_zscore,0.9030072899990739,0.5128962617884332,0.5972479491929081,0.9369790518191842,0.5518674735619536,0.7480700616491234,9028,8574,6088,127476,151166,15116,17602,1,42,4.5,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_prices,standard_zscore,0.9627296027338744,0.839549002601908,0.77543391188251,0.9835365311026074,0.8062187673514715,0.8733084104669145,2904,555,841,33156,37456,3745,3459,1,42,5.0,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_products,standard_zscore,0.9089543945067012,0.542289179221104,0.5738952103731145,0.9461815509004042,0.5576447144280526,0.7368914846876352,8675,7322,6441,128728,151166,15116,15997,1,42,5.0,coarse
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_prices,standard_zscore,0.9294372063220846,0.5928234501347709,0.939652870493992,0.9283023345495536,0.7269910133250698,0.9339603596222712,3519,2417,226,31294,37456,3745,5936,1,42,2.75,refine
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_products,standard_zscore,0.8545969331728034,0.3773409578270193,0.6984652024345065,0.871944138184491,0.48997586782996105,0.7803990254918389,10558,17422,4558,118628,151166,15116,27980,1,42,2.75,refine
standard_zscore__threshold_3p250__attempt_01,standard_zscore__threshold_3p250,new_prices,standard_zscore,0.9468709953011534,0.6751147475553781,0.9033377837116154,0.9517071579009819,0.7727272727272728,0.9272071153527423,3383,1628,362,32083,37456,3745,5011,1,42,3.25,refine
standard_zscore__threshold_3p250__attempt_01,standard_zscore__threshold_3p250,new_products,standard_zscore,0.8780148975298678,0.42939077236808565,0.6686292670018523,0.9012789415656008,0.5229471723495628,0.7762869817684778,10107,13431,5009,122619,151166,15116,23538,1,42,3.25,refine
