run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_prices,standard_zscore,0.8491733420745324,0.3970539419087137,0.9802294611759885,0.8346118825404052,0.5651763038213926,0.9044949728515127,9569,14531,193,73329,97622,9762,24100,1,42,2.0,coarse
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_products,standard_zscore,0.7945000399010455,0.2932270617234519,0.7480767389153127,0.7996580929816846,0.4213109449158636,0.7734375336411962,23435,56486,7892,225462,313275,31327,79921,1,42,2.0,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_prices,standard_zscore,0.8988137919731208,0.4969321908388871,0.9624052448268797,0.8917482358297291,0.6554346309473977,0.9264033566582369,9395,9511,367,78349,97622,9762,18906,1,42,2.5,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_products,standard_zscore,0.8261910462054106,0.32993542503272877,0.7159957863823538,0.8384347468327493,0.45171684623904934,0.7748004555295538,22430,45553,8897,236395,313275,31327,67983,1,42,2.5,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_prices,standard_zscore,0.9263997869332732,0.581856298837431,0.9382298709280885,0.9250853630776235,0.7182684390071757,0.9316344351717484,9159,6582,603,81278,97622,9762,15741,1,42,3.0,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_products,standard_zscore,0.8510733381214588,0.36853300397968985,0.6857981932518274,0.8694369174457701,0.4794305033306183,0.7721776137202809,21484,36812,9843,245136,313275,31327,58296,1,42,3.0,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_prices,standard_zscore,0.9417242015119542,0.6485087143586378,0.910981356279451,0.9451399954473025,0.75765708200213,0.9279035051806507,8893,4820,869,83040,97622,9762,13713,1,42,3.5,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_products,standard_zscore,0.8629287367329024,0.390135462388376,0.6582500718230281,0.8856704073091493,0.4899088889680815,0.7635395269550739,20621,32235,10706,249713,313275,31327,52856,1,42,3.5,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_prices,standard_zscore,0.949161049763373,0.6938676577522824,0.8797377586560131,0.9568745731846119,0.7758254663715615,0.9174958813686085,8588,3789,1174,84071,97622,9762,12377,1,42,4.0,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_products,standard_zscore,0.8723230388636182,0.41010595284994505,0.6313722986561113,0.8990948685573227,0.4972346523203781,0.7534345319076842,19779,28450,11548,253498,313275,31327,48229,1,42,4.0,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_prices,standard_zscore,0.9536887177070742,0.7311458057687219,0.8491087891825445,0.9653084452538129,0.7857244419166785,0.9053462791314435,8289,3048,1473,84812,97622,9762,11337,1,42,4.5,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_products,standard_zscore,0.8799521187455112,0.4292664249194802,0.6083889296772752,0.9101252713266276,0.503367403533793,0.7441170201619143,19059,25340,12268,256608,313275,31327,44399,1,42,4.5,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_prices,standard_zscore,0.9563520517916043,0.7637357368875252,0.8159188690842041,0.9719553835647621,0.7889653806151254,0.8905261014470404,7965,2464,1797,85396,97622,9762,10429,1,42,5.0,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_products,standard_zscore,0.8864224722687735,0.44821793748174116,0.5877038975963227,0.9196128364095507,0.5085700868748532,0.7351598793714892,18411,22665,12916,259283,313275,31327,41076,1,42,5.0,coarse
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_prices,standard_zscore,0.9148655016287313,0.54243930973969,0.9499078057775046,0.9109720009105395,0.6905462263097145,0.9302362143615316,9273,7822,489,80038,97622,9762,17095,1,42,2.75,refine
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_products,standard_zscore,0.8405362700502753,0.3510704635210975,0.7008969898170907,0.856051470483919,0.46781719399169064,0.7745991858959529,21957,40586,9370,241362,313275,31327,62543,1,42,2.75,refine
standard_zscore__threshold_3p250__attempt_01,standard_zscore__threshold_3p250,new_prices,standard_zscore,0.9350658663006289,0.6168020200641506,0.9258348699037082,0.9360915092192124,0.7403645300020479,0.9309490644798648,9038,5615,724,82245,97622,9762,14653,1,42,3.25,refine
standard_zscore__threshold_3p250__attempt_01,standard_zscore__threshold_3p250,new_products,standard_zscore,0.8575532678956189,0.38002526163839767,0.6722954639767612,0.8781371032956432,0.4855729881148627,0.7683538190803463,21061,34359,10266,247589,313275,31327,55420,1,42,3.25,refine
