schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold,mh_level,granularity,scope_id,family_output_dir,candidate_metrics_path,best_configuration_path
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_2p000,standard_zscore__threshold_2p000,tuning,standard_zscore,GLOBAL,global,ok,,1011.7790012999905,9650265,1160422,2700412,0.4069373117080377,0.7439879838749757,0.5260625536123877,coarse,1,0.5260625536123877,0.8057381538054339,0.3333333333333333,0.8825479006775121,0.0,0.4527647942381072,0.0,0.8364299133072508,0.0,0.5875078688683356,0.0,0.8616701848275146,0.0,0.8295652663371367,0.0,0.3000065191378755,0.0,0.5282901485330005,0.0,0.3826901513485093,0.0,0.675230081420579,0.0,2.0,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_2p500,standard_zscore__threshold_2p500,tuning,standard_zscore,GLOBAL,global,ok,,988.585670700064,9650265,1160422,2700412,0.4958315043886629,0.7263435134337242,0.5893481106734935,coarse,1,0.5893481106734935,0.8126888250304563,0.1666666666666666,0.9180246496533158,0.0,0.561612602952786,0.0,0.8214870477930405,0.0,0.667135558821471,0.0,0.8734740644174122,0.0,0.8535475327468549,0.0,0.342342274405709,0.0,0.5043419332619862,0.0,0.4078440649948792,0.0,0.6708565997942258,0.0,2.5,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_3p000,standard_zscore__threshold_3p000,tuning,standard_zscore,GLOBAL,global,ok,,1007.1406964999624,9650265,1160422,2700412,0.5722715938893784,0.7088498844674365,0.6332804826488332,coarse,1,0.6332804826488332,0.8125987808232356,0.0,0.9371926764573576,0.0,0.6501798999241428,0.0,0.8050964306027129,0.0,0.7193926070233664,0.0,0.8754125579657396,0.0,0.8728364412541494,0.0,0.3904855464749284,0.0,0.4842746101517917,0.0,0.4323521924415894,0.0,0.6660333008240596,0.0,3.0,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_3p500,standard_zscore__threshold_3p500,tuning,standard_zscore,GLOBAL,global,ok,,1018.583509100019,9650265,1160422,2700412,0.6295744391815437,0.6909775609360094,0.6588466331044955,coarse,1,0.6588466331044955,0.807781942450235,0.1666666666666666,0.9479585874793826,0.0,0.7188473275238305,0.0,0.7876458523637994,0.0,0.7516756445577533,0.0,0.872172910090019,0.0,0.8826042100242482,0.0,0.4212710330495408,0.0,0.4654182142711662,0.0,0.4422456063802273,0.0,0.6575363512907394,0.0,3.5,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_4p000,standard_zscore__threshold_4p000,tuning,standard_zscore,GLOBAL,global,ok,,1010.0375668000196,9650265,1160422,2700412,0.6722814114683073,0.6728669461895674,0.6725732262818036,coarse,1,0.6725732262818036,0.8004562415832371,0.3333333333333333,0.9539762258902365,0.0,0.7699435417833901,0.0,0.7697643956498509,0.0,0.7698539582947294,0.0,0.8660787642850032,0.0,0.8888214094738136,0.0,0.4444031073997812,0.0,0.4467728974489059,0.0,0.4455848515849771,0.0,0.647337021945783,0.0,4.0,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_4p500,standard_zscore__threshold_4p500,tuning,standard_zscore,GLOBAL,global,ok,,1007.5894012999488,9650265,1160422,2700412,0.7025415873577117,0.6552334033246541,0.678058870981828,coarse,1,0.678058870981828,0.7919618395616246,0.5,0.9568743095184338,0.0,0.8041270367912704,0.0,0.7518915565054032,0.0,0.7771325251841494,0.0,0.8582485998139566,0.0,0.8936325271847407,0.0,0.4655088720127414,0.0,0.4296977125695728,0.0,0.4468870111764117,0.0,0.6372927323061831,0.0,4.5,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_5p000,standard_zscore__threshold_5p000,tuning,standard_zscore,GLOBAL,global,ok,,1088.1002241999377,9650265,1160422,2700412,0.724236765038422,0.6380603298783649,0.6783814095282776,coarse,1,0.6783814095282776,0.7828247278917171,0.6666666666666666,0.9580893847238332,0.0,0.8271216709371846,0.0,0.7343892728494855,0.0,0.7780019536777527,0.0,0.8496259142208976,0.0,0.8972978938028716,0.0,0.4841719846079763,0.0,0.4132927962790835,0.0,0.4459334731795025,0.0,0.6269552931236292,0.0,5.0,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_2p250,standard_zscore__threshold_2p250,tuning,standard_zscore,GLOBAL,global,ok,,1097.3008251000429,9650265,1160422,2700412,0.4516082252728983,0.7354290669102861,0.5595831947681729,refine,1,0.5595831947681729,0.8103544597178062,0.25,0.9025664801253336,0.0,0.5078553642272305,0.0,0.8295703279846952,0.0,0.6300189139839134,0.0,0.869178198352305,0.0,0.842160011139041,0.0,0.3203649010461232,0.0,0.5157661244033314,0.0,0.3952331832647785,0.0,0.6730990695706422,0.0,2.25,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_2p750,standard_zscore__threshold_2p750,tuning,standard_zscore,GLOBAL,global,ok,,1125.08128449996,9650265,1160422,2700412,0.536725806261549,0.7178425125508676,0.614208548455268,refine,1,0.614208548455268,0.8135358925150957,0.0833333333333333,0.929234364739724,0.0,0.6094986637057312,0.0,0.8136278244084039,0.0,0.6969233948949614,0.0,0.8755010583601809,0.0,0.864141842059656,0.0,0.3669224722251235,0.0,0.4943434515499498,0.0,0.4212072400959835,0.0,0.6689505055432305,0.0,2.75,mh10,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
phase2.v1,global_single_attempt_batch,standard_zscore__threshold_2p000,standard_zscore__threshold_2p000,tuning,standard_zscore,GLOBAL,global,ok,,969.6561616000254,9287493,1070582,2591524,0.4021143064776486,0.7411457675954938,0.5213395874710623,coarse,1,0.5213395874710623,0.8034991670391212,0.3333333333333333,0.8803800175979047,0.0,0.4471463295572923,0.0,0.8299426479104784,0.0,0.5811745544810264,0.0,0.8575057074002803,0.0,0.8270326649492731,0.0,0.2970395859584799,0.0,0.5339530468605297,0.0,0.3817246644478131,0.0,0.6774839061964169,0.0,2.0,mh11,global,GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh11\global\GLOBAL_2026-02-08\standard_zscore,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh11\global\GLOBAL_2026-02-08\standard_zscore\candidate_metrics.csv,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh11\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
