run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_prices,standard_zscore,0.819181813179759,0.3529549170754497,0.9699665275803567,0.802428126735377,0.5175733701968365,0.8822292353591124,21154,38780,655,157503,218092,21809,59934,1,42,2.0,coarse
standard_zscore__threshold_2p000__attempt_01,standard_zscore__threshold_2p000,new_products,standard_zscore,0.7825133625614689,0.28190936684420226,0.7593353680707824,0.78508868582398,0.41116895127008035,0.7721046601454745,68915,175543,21842,641273,907573,90757,244458,1,42,2.0,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_prices,standard_zscore,0.8764512224198961,0.4446980790765785,0.9468568022376084,0.8686284599277574,0.6051725401128287,0.906899534623199,20650,25786,1159,170497,218092,21809,46436,1,42,2.5,coarse
standard_zscore__threshold_2p500__attempt_01,standard_zscore__threshold_2p500,new_products,standard_zscore,0.8172786100952761,0.3185711109607447,0.7262580296836607,0.8273919707743237,0.44287590833806467,0.7751774393457548,65913,140989,24844,675827,907573,90757,206902,1,42,2.5,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_prices,standard_zscore,0.9092584780734736,0.5265190322326424,0.919024256041084,0.9081734026889746,0.6694835994388402,0.9135827197153713,20043,18024,1766,178259,218092,21809,38067,1,42,3.0,coarse
standard_zscore__threshold_3p000__attempt_01,standard_zscore__threshold_3p000,new_products,standard_zscore,0.8478700886870808,0.3633817295586588,0.6932908756349373,0.8650454937219643,0.47683499361527193,0.7744211695237658,62921,110233,27836,706583,907573,90757,173154,1,42,3.0,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_prices,standard_zscore,0.9280074463987675,0.5938018305792739,0.8864688889907836,0.9326227946383538,0.7112034874096419,0.9092530410235323,19333,13225,2476,183058,218092,21809,32558,1,42,3.5,coarse
standard_zscore__threshold_3p500__attempt_01,standard_zscore__threshold_3p500,new_products,standard_zscore,0.8630534403293179,0.39109875548858114,0.6634419383628811,0.8852324146441793,0.49210299411964215,0.7663552107692543,60212,93744,30545,723072,907573,90757,153956,1,42,3.5,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_prices,standard_zscore,0.937911523577206,0.6432035471802688,0.8513916273098262,0.9475247474310052,0.7327979162144562,0.8981729436092002,18568,10300,3241,185983,218092,21809,28868,1,42,4.0,coarse
standard_zscore__threshold_4p000__attempt_01,standard_zscore__threshold_4p000,new_products,standard_zscore,0.8738261274850618,0.41467987443520987,0.6360721487047831,0.9002431392137275,0.5020524594726223,0.7567163193141898,57728,81483,33029,735333,907573,90757,139211,1,42,4.0,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_prices,standard_zscore,0.9438723107679328,0.6838303104826314,0.8159933972213307,0.9580809341613894,0.7440888089812473,0.8841876024234553,17796,8228,4013,188055,218092,21809,26024,1,42,4.5,coarse
standard_zscore__threshold_4p500__attempt_01,standard_zscore__threshold_4p500,new_products,standard_zscore,0.881913631189998,0.4355784400681303,0.6114569675066386,0.9119642612289671,0.5087458745874588,0.7467442009453412,55494,71909,35263,744907,907573,90757,127403,1,42,4.5,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_prices,standard_zscore,0.94784311208114,0.7197742017019125,0.7834380301710303,0.9661101572729172,0.750257975278284,0.8699927807413798,17086,6652,4723,189631,218092,21809,23738,1,42,5.0,coarse
standard_zscore__threshold_5p000__attempt_01,standard_zscore__threshold_5p000,new_products,standard_zscore,0.8884089764680086,0.45509109847514645,0.5873155789636061,0.9218636755401461,0.5128173058884083,0.7358158046178261,53303,63823,37454,752993,907573,90757,117126,1,42,5.0,coarse
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_prices,standard_zscore,0.8946683051189406,0.48611939942233784,0.9337888027878399,0.8903216274460855,0.6393833788578066,0.9117962308482095,20365,21528,1444,174755,218092,21809,41893,1,42,2.75,refine
standard_zscore__threshold_2p750__attempt_01,standard_zscore__threshold_2p750,new_products,standard_zscore,0.8344529861509763,0.34203748254125044,0.709653249887061,0.8483195725842785,0.4615957972894523,0.7758948006187667,64406,123895,26351,692921,907573,90757,188301,1,42,2.75,refine
standard_zscore__threshold_3p250__attempt_01,standard_zscore__threshold_3p250,new_prices,standard_zscore,0.919813656621976,0.5614459201956713,0.9051767618872942,0.9214399616879709,0.693031420045638,0.913272161403308,19741,15420,2068,180863,218092,21809,35161,1,42,3.25,refine
standard_zscore__threshold_3p250__attempt_01,standard_zscore__threshold_3p250,new_products,standard_zscore,0.8559146206420861,0.3772706358700653,0.6776006258470421,0.8757272139625081,0.48468249777350425,0.77032026343092,61497,101508,29260,715308,907573,90757,163005,1,42,3.25,refine
