mh_level,granularity,scope_id,dataset_name,status,reason,detectors_requested,detectors_succeeded,detectors_failed,scope_output_dir,cache_snapshot_path,cache_status,train_path,test_new_prices_path,test_new_products_path
mh5,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh5\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh5\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\global\GLOBAL_2026-02-08_test_new_products.parquet
mh6,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh6\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh6\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh6\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh6\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh6\global\GLOBAL_2026-02-08_test_new_products.parquet
mh7,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh7\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh7\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh7\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh7\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh7\global\GLOBAL_2026-02-08_test_new_products.parquet
mh8,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh8\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh8\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh8\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh8\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh8\global\GLOBAL_2026-02-08_test_new_products.parquet
mh9,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh9\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh9\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh9\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh9\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh9\global\GLOBAL_2026-02-08_test_new_products.parquet
mh10,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh10\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\global\GLOBAL_2026-02-08_test_new_products.parquet
mh11,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh11\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh11\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh11\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh11\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh11\global\GLOBAL_2026-02-08_test_new_products.parquet
mh12,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh12\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh12\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh12\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh12\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh12\global\GLOBAL_2026-02-08_test_new_products.parquet
mh13,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh13\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh13\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh13\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh13\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh13\global\GLOBAL_2026-02-08_test_new_products.parquet
mh14,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh14\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh14\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh14\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh14\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh14\global\GLOBAL_2026-02-08_test_new_products.parquet
