granularity,granularity_label,mh_level,mh_value,average_weighted_combined_f1,average_weighted_combined_g_mean,scope_count
by_competitor,By competitor,mh5,5,0.6113337039210469,0.8353975989777753,12
by_country,By country,mh5,5,0.5929529414694444,0.812165681572646,4
global,Global,mh5,5,0.5968196949755514,0.8022680999668882,1
by_competitor,By competitor,mh10,10,0.6110199195883361,0.8317079434810036,12
by_country,By country,mh10,10,0.617706592379945,0.8305212313056193,4
global,Global,mh10,10,0.614208548455268,0.8135358925150957,1
by_competitor,By competitor,mh15,15,0.6391832210133739,0.8597760330157975,11
by_country,By country,mh15,15,0.6063895781757856,0.8328959184561658,4
global,Global,mh15,15,0.5800122715954794,0.802424078895376,1
by_competitor,By competitor,mh20,20,0.6421580485123994,0.86575380865957,11
by_country,By country,mh20,20,0.58882309562306,0.8407196328631263,4
global,Global,mh20,20,0.5845492438695548,0.8231148259382473,1
by_competitor,By competitor,mh25,25,0.6389283755253613,0.8825076799183612,11
by_country,By country,mh25,25,0.5955390658025879,0.8633090515405444,4
global,Global,mh25,25,0.5795742031656181,0.8617362200968449,1
by_competitor,By competitor,mh30,30,0.6525506426975111,0.8693801709536572,11
by_country,By country,mh30,30,0.6010214685014255,0.8715157207554496,4
global,Global,mh30,30,0.6108822257908414,0.873097725916012,1
